case_id,time_ms,chamber_pressure_bar,chamber_temperature_K,injection_pressure_bar,density_kg_m3,viscosity_Pa_s,injection_temperature_K,angle_shadow_deg,angle_shadow_smoothed_deg,angle_mie_deg,angle_mie_smoothed_deg,penetration_shadow_mm,penetration_shadow_ld,penetration_mie_mm,penetration_mie_ld
ETH-02,2.75,75.01520000000002,191.8374375,115.75237499999994,812.2113286290836,0.0018983143157602972,273.0,18.676666666666662,18.960815837041157,16.159247311827954,16.210542290706606,37.94399390322581,178.14081644706954,37.8179885625,177.54924207746478
ETH-02,2.775,75.02585,191.85158124999998,115.70956249999996,812.2121159423571,0.0018983247129831084,273.0,18.874375,18.99982289349277,16.043663594470043,16.185594374039937,38.173026032258065,179.21608465848857,37.963958875,178.23454870892022
ETH-02,2.8,75.03415,191.89629374999998,116.02349999999996,812.2127295238874,0.0018983328159479574,273.0,18.951512096774195,19.017423977421306,16.24919540229885,16.174967762147304,38.30261,179.82446009389673,38.12452621875,178.98838600352113
ETH-02,2.825,75.041,191.90587499999998,116.38015624999996,812.2132359099382,0.001898339503311431,273.0,18.98459051724138,19.021976205557614,15.954838709677418,16.146840971155488,38.44726187096774,180.5035768590035,38.26465771875,179.6462803697183
ETH-02,2.85,75.03345,191.858653125,116.50378124999996,812.2126777762263,0.0018983321325665423,273.0,19.083870967741937,19.040915982355124,15.914012096774194,16.141557106713652,39.00034809375,183.10022579225353,38.350827290322584,180.05083234893232
ETH-02,2.875,75.02955000000001,191.865725,116.73224999999996,812.2123894672337,0.0018983283251519834,273.0,18.899294354838705,19.05527010625232,16.310208333333335,16.14102312548003,38.893271806451615,182.5975202180827,38.594550625000004,181.19507335680754
ETH-02,2.9,75.02744999999999,191.834015625,116.41337499999997,812.212234223498,0.001898326275002818,273.0,19.271875,19.061965532690646,16.428124999999994,16.147299667178697,39.143399,183.77182629107983,38.7638761875,181.9900290492958
ETH-02,2.925,75.00910000000002,191.83766562499997,116.18993749999996,812.2108776762248,0.0018983083605206472,273.0,18.83679435483871,19.06840057073998,16.035991379310342,16.153397108843535,39.43872990322581,185.15835635317282,39.0780043,183.4648089201878
ETH-02,2.95,75.01125000000002,191.9487625,115.83793749999997,812.2110366189169,0.001898310459500487,273.0,19.511693548387093,19.04866215310459,16.11810344827586,16.13823844259189,39.622558322580645,186.021400575496,39.15950606896552,183.84744633317146
ETH-02,2.975,75.01364999999998,191.86253124999993,116.01871874999995,812.2112140429415,0.0018983128025452465,273.0,19.2125,19.04541726532567,15.960887096774194,16.118924979474546,39.879089375,187.22577171361502,39.2309811875,184.18301026995306
ETH-02,3.0,75.00915,191.87256875,116.28024999999997,812.2108813725738,0.0018983084093342078,273.0,19.315624999999997,19.0562543187717,16.088541666666664,16.114801276309894,39.99878503125,187.78772315140847,39.379870906250005,184.8820230340376
ETH-03,0.0,55.03645,290.624915625,100.14401250000002,810.7205784696238,0.0018787189472870417,273.0,,,,,,,,
ETH-03,0.025,55.0212,290.64179687499995,100.08217187500001,810.7194298423258,0.0018787039192517416,273.0,,,,,,,,
ETH-03,0.05,55.035,290.69015937499995,100.15829062500002,810.7204692565948,0.0018787175183965796,273.0,,,,,,,,
ETH-03,0.07500000000000001,55.02970000000001,290.6833156249999,100.08694062500003,810.7200700628704,0.0018787122955472343,273.0,,,,,4.659372375,21.87498767605634,4.31196303125,20.24395789319249
ETH-03,0.1,55.03809999999999,290.6208093750001,100.11071875000002,810.7207027463304,0.0018787205732645584,273.0,,,,,5.227683458333334,24.543114827856026,5.805447857142858,27.255623742454734
ETH-03,0.125,55.039599999999986,290.60894687499996,100.04411875000001,810.7208157249887,0.001878722051424864,273.0,,,,,6.356088037037037,29.840788906277172,7.374030933333334,34.619863536776215
ETH-03,0.15000000000000002,55.03810000000001,290.62993437499995,100.01083125000001,810.7207027463304,0.0018787205732645584,273.0,,,,,7.47368,35.08769953051643,8.410903580645162,39.48781023777071
ETH-03,0.17500000000000002,55.02435000000001,290.6087187499999,100.06790937500001,810.7196671011279,0.0018787070234122503,273.0,,,,,8.581386142857143,40.288197853789406,9.482231500000001,44.51751877934273
ETH-03,0.2,55.027550000000005,290.63289999999995,100.10119687500001,810.7199081252181,0.0018787101768403844,273.0,17.046666666666663,16.403972999241002,12.78986175115207,13.19642854825467,9.715784000000001,45.61400938967137,10.565613741935485,49.60382038467364
ETH-03,0.225,55.038000000000004,290.6641531249999,100.08217187500001,810.7206952144118,0.0018787204747204684,273.0,16.0761957730812,16.559687697257218,13.48870967741935,13.18121070369193,10.701224870967742,50.24049235196123,11.5199770625,54.084399354460096
ETH-03,0.25,55.03875000000001,290.60484062499995,100.03936250000002,810.7207517037716,0.0018787212138008593,273.0,15.591129032258063,16.69002622248578,12.90100111234705,13.180676343975668,11.671597838709678,54.79623398455248,12.43959003125,58.40183113262911
ETH-03,0.275,55.034299999999995,290.61944062500004,100.13450312500002,810.7204165330126,0.0018787168285870767,273.0,14.662485065710868,16.759305458045404,13.638958333333328,13.169182009823693,12.633633233333333,59.31283208137715,13.2482655625,62.19842987089202
ETH-03,0.30000000000000004,55.02515,290.62925,100.16304375000003,810.7197273572185,0.001878707811769731,273.0,15.952365591397847,16.80122381123285,13.117096774193547,13.131744757969926,13.235646193548389,62.139184007269435,13.95768128125,65.52902009976526
ETH-03,0.325,55.032050000000005,290.58111562499994,100.09645,810.7202470641088,0.0018787146113405514,273.0,15.157730812013344,16.91017448188184,13.117165898617507,13.109836774105265,13.910688258064518,65.30839557776768,14.564917781250001,68.37989568661972
ETH-03,0.35000000000000003,55.030449999999995,290.63997187500007,100.09643750000002,810.7201265526703,0.001878713034630491,273.0,16.41270833333333,17.01977673200616,13.507560483870964,13.086370413223685,14.50652965625,68.10577303403757,15.169234875,71.21706514084508
