run,Time_ms,Pc_bar,Tc_K,Pinj_bar,rho_kgm3,mu_Pas,angle_shadow_deg,len_shadow_L_D,angle_mie_deg,len_mie_L_D
ETH-01,0.8,55.0157,192.01309375000005,99.43292187499999,810.7190155792141,0.00187869849927759,17.500810110513736,102.78228858568075,13.033249373017345,107.29160622065729
ETH-01,0.8250000000000001,55.00645000000001,192.01583125000005,99.73494687499999,810.7183188591002,0.0018786893838343114,17.491939142771805,104.5777919600939,13.042659655275406,108.95004826877934
ETH-01,0.8500000000000001,55.028650000000006,191.99849375000005,99.73970312499999,810.719990977081,0.0018787112608302013,17.497826239545997,106.19511561032864,13.042599171404438,110.78667004107982
ETH-01,0.875,55.00875000000001,192.02723750000004,99.64219687499998,810.7184920981864,0.0018786916503807335,17.497513739545997,107.5268211419052,13.02791167140444,112.59587954812207
ETH-01,0.9,55.01825000000001,192.06191250000003,99.12852187499998,810.719207646927,0.0018787010121764907,17.51503457287933,109.26705785249129,13.048025582694759,114.363970657277
ETH-01,0.925,55.01905000000001,192.07149375,97.796711875,810.719267903365,0.0018787018005362482,17.529425736672433,111.19785401995306,13.09890984195402,116.06353110328638
ETH-01,0.9500000000000001,55.01599999999999,192.08175937500005,97.12604662499999,810.7190381754428,0.0018786987949129547,17.545999881555638,112.9933573943662,13.15703484195402,117.58491182511737
ETH-01,0.9750000000000001,55.026749999999986,192.02997500000004,96.412578125,810.7198478692698,0.0018787093884838739,17.551738307481564,114.7203301056338,13.210371535502407,119.13370481220659
ETH-01,1.0,55.01515000000001,192.04822500000006,96.253234375,810.7189741527845,0.0018786979572794004,17.55712137199769,116.28282922535213,13.252483430663696,120.50431807511738
ETH-01,1.0250000000000001,55.02044999999999,191.99575625000003,96.35312375,810.7193733520294,0.0018787031801652053,17.548669967659542,117.77679768192489,13.27572973442714,121.86122520539907
ETH-01,1.05,55.025299999999994,191.98480625000002,96.224688125,810.7197386552331,0.001878707959586756,17.535336970347714,119.39412133215963,13.29463598442714,123.39631205985917
ETH-01,1.075,55.032849999999996,192.06807187500004,96.88108887499999,810.7203073197603,0.0018787153996951435,17.503645774111153,120.75544979554748,13.33135473442714,124.60245173122067
ETH-01,1.1,55.00984999999999,192.06807187500007,96.69082975,810.7185749515288,0.0018786927343803184,17.487682597433363,121.63735837245697,13.364812395717461,126.06900792253522
ETH-01,1.125,55.0148,192.07126562499997,98.074976875,810.7189477905018,0.0018786976123714141,17.518383874315084,123.4294720581554,13.377086102614012,127.43962118544601
ETH-01,1.1500000000000001,55.01024999999999,192.09225312500004,97.26160374999999,810.7186050799945,0.0018786931285618258,17.501074062487127,125.01407784340454,13.386719503151648,128.87876511150236
ETH-01,1.175,55.01865,192.08905937500006,96.85254943749996,810.7192377751501,0.0018787014063563806,17.496835188532526,126.52794229895504,13.414426156377454,130.3316151701878
ETH-01,1.2000000000000002,55.02485000000001,192.02655312500005,95.55401250000001,810.7197047611909,0.0018787075161357236,17.505515632080915,128.41275660211267,13.463181196700035,131.78446522887324
ETH-01,1.225,55.0225,192.04754062500004,94.85958749999999,810.7195277587425,0.0018787052003344195,17.53053075304866,129.82448826291082,13.491264530033368,133.1002539612676
ETH-01,1.25,55.018049999999995,192.05119062500006,94.24602499999997,810.7191925828101,0.0018787008150864992,17.54158869809047,131.64740390258217,13.526330054226918,134.51198562206574
ETH-01,1.2750000000000001,55.02025000000001,192.12670000000003,94.27218437499998,810.7193582879408,0.001878702983075379,17.563574585187247,132.86724970657278,13.576997833240636,135.77294982394366
ETH-01,1.3,55.024000000000015,192.11324062500003,94.70025312499996,810.7196407390762,0.0018787066785057938,17.60486490776789,134.10080164319248,13.594136691230995,137.08873855633803
ETH-01,1.3250000000000002,55.023950000000006,192.01993750000003,94.97135937499999,810.7196369730691,0.0018787066292334509,17.633787958843158,135.4577087734742,13.622106831664809,138.226347564554
ETH-01,1.35,55.029349999999994,192.06168437500003,95.375640625,810.7200437009486,0.0018787119506416042,17.660990579810903,137.1846814847418,13.677990232202443,139.4187811032864
ETH-01,1.375,55.02790000000001,192.04046875,95.68005375000001,810.7199344871862,0.0018787105217463245,17.71146471774194,138.34970275821595,13.74464102474972,140.67974530516432
ETH-01,1.4000000000000001,55.023900000000005,192.02997500000004,95.77994625000002,810.7196332070557,0.0018787065799610234,17.744256384408605,140.07667546948358,13.803446468298109,142.07777083333335
ETH-01,1.425,55.02620000000001,192.0272375,95.82276281250002,810.7198064432712,0.0018787088464885054,17.7818964706155,141.26910900821596,13.855946468298109,143.25649823943664
ETH-01,1.4500000000000002,55.01945,192.06487812500004,96.0225409375,810.7192980315713,0.0018787021947160693,17.800024946700038,142.21836922610936,13.88642529894327,144.59969923708923
ETH-01,1.475,55.0206,192.162515625,96.0130146875,810.7193846500896,0.0018787033279825025,17.812015687440777,143.520009692564,13.932463605394881,145.8195450410798
ETH-01,1.5,55.022000000000006,192.06830000000005,96.29842187500002,810.7194900985958,0.0018787047076103984,17.814965956257982,145.07631894593368,13.95123372033741,146.84750498826293
ETH-01,1.525,55.02670000000001,192.09202500000006,96.52673124999997,810.7198441032691,0.0018787093392115533,17.87071272349936,146.3638111464486,13.987518666573967,148.13588145539907
ETH-01,1.5499999999999998,55.02300000000001,192.00237187500002,97.63974500000002,810.7195654188736,0.0018787056930583527,17.874099820273553,148.07575132515524,14.009873366240265,149.16384140258216
ETH-01,1.575,55.0168,192.10594062500004,97.810980625,810.7190984320101,0.0018786995832735718,17.872615613284307,149.1368712706346,14.013507438820909,150.411099471831
ETH-01,1.5999999999999999,55.0131,192.03773125,98.42458874999998,810.7188197449908,0.0018786959371030379,17.843669515768546,150.29702907769197,14.020877734519834,151.5761207453052
ETH-01,1.625,55.02575000000001,192.08563750000005,98.19150906250002,810.7197725492575,0.0018787084030376538,17.843395322220164,151.44303861880965,14.029851594364107,152.61778682511738
ETH-01,1.65,55.01755,192.07263437499998,98.2628659375,810.719154922504,0.0018787003223614224,17.82964263404812,152.57489989398758,14.052288375973301,153.76910196596245
ETH-01,1.6749999999999998,55.01970000000002,192.092253125,97.65876556250002,810.7193168616924,0.0018787024410783968,17.830545859854574,153.76335423292443,14.072847851779752,154.90671097417842
ETH-01,1.7,55.0137,192.06487812500004,97.3686259375,810.7188649375471,0.0018786965283743749,17.807284771144893,155.03669816749962,14.09126015016685,156.0580261150235
ETH-01,1.7249999999999999,55.033699999999996,192.03727500000002,97.00713431249999,810.7203713413411,0.0018787162373215857,17.786589206628765,156.22515250643647,14.140833066833517,157.20934125586857
ETH-01,1.75,55.03580000000001,192.07217812500002,96.59332156249998,810.7205295120731,0.00187871830675,17.779423734705226,157.48434817507194,14.147642542639966,158.3058318661972
ETH-01,1.775,55.04195,192.09635937500005,96.95481349999999,810.72099272456,0.0018787243672071605,17.734082432861907,158.8567299712252,14.149492005005559,159.64903286384978
ETH-01,1.7999999999999998,55.03284999999999,192.09955312500006,96.67893875000001,810.7203073197603,0.0018787153996951435,17.70327228501245,159.87540511888537,14.17148553948832,160.85517253521127
ETH-01,1.825,55.02375,192.10708125000005,97.6540143125,810.7196219090334,0.0018787064321439935,17.701553535012444,161.0497111918825,14.19834402808676,162.21207966549298
ETH-01,1.8499999999999999,55.015950000000004,192.06852812500003,97.53034475000001,810.7190344093999,0.001878698745640329,17.689951048453306,162.30985007824725,14.196896111420093,163.07556602112678
ETH-01,1.875,55.026699999999984,192.09635937500002,98.586309375,810.7198441032691,0.0018787093392115533,17.642079802624604,163.45020031298907,14.200149552743786,164.40506088615024
ETH-01,1.9,55.03289999999999,192.06077187500006,98.34372062499997,810.7203110857364,0.0018787154489672882,17.60196629687748,164.80984866979657,14.199791689840561,165.55637602699534
ETH-01,1.925,55.0297,192.02655312500008,98.49593281249999,810.7200700628704,0.0018787122955472343,17.57288224515334,165.83323990610333,14.186197939840559,166.85845862676058
ETH-01,1.95,55.036550000000005,192.08153125,97.79671125,810.7205860015488,0.0018787190458311434,17.540217258594204,167.22212801251956,14.1974378591954,167.81788791079813
ETH-01,1.9749999999999999,55.037299999999995,192.0993250000001,97.02140462500002,810.7206424909828,0.0018787197849119992,17.518193065045814,168.21627949921753,14.199156609195402,168.9829091842723
ETH-01,2.0,55.034150000000004,192.17939687500007,96.18427062500001,810.7204052350962,0.001878716680770706,17.517626868809256,169.02591808321193,14.21365766360771,170.01086913145542
ETH-01,2.025,55.039750000000005,192.08905937500003,95.92265218750002,810.7208270228465,0.0018787221992408434,17.511697433325384,170.48236009389672,14.22522016360771,171.1621842723005
ETH-01,2.05,55.03509999999999,192.05096249999997,95.85605843750001,810.7204767885346,0.001878717616940809,17.534324785475924,171.46189170579032,14.248802963941415,172.0667890258216
ETH-01,2.075,55.0177,192.00556562499997,95.94643625,810.7191662205952,0.0018787004701789243,17.54780764837915,172.41218356807514,14.28438764136077,172.90286311619718
ETH-01,2.1,55.02289999999999,192.01993750000003,96.403065,810.7195578868453,0.0018787055945135292,17.574400390314633,173.88218839921248,14.314361095661843,174.0952966549296
ETH-01,2.125,55.02285,192.11415312500003,96.63613000000001,810.719554120832,0.0018787055452411294,17.57576329354044,175.42479151995306,14.342176028921022,175.17808113262913
ETH-01,2.15,55.030550000000005,192.110046875,96.7360160625,810.7201340846409,0.0018787131331749099,17.612173575798504,176.35680853873242,14.351655913978494,175.90450616197185
ETH-01,2.175,55.02060000000001,192.109590625,96.155726875,810.7193846500896,0.0018787033279825025,17.624679624185596,177.32994395539907,14.360234543010751,176.80911091549297
ETH-01,2.2,55.02910000000001,192.11324062500006,95.85130218750001,810.7200248710019,0.001878711704280443,17.645550591927535,178.15231191314555,14.361671034946232,177.60406660798122
ETH-01,2.225,55.0206,192.07537187500003,95.24722187500002,810.7193846500896,0.0018787033279825025,17.651392325798504,179.50921904342727,14.364095430107522,178.71426335093898
ETH-01,2.25,55.03745,192.06784375000007,95.36613625000001,810.7206537888632,0.001878719932728113,17.644744140314632,180.19231500832956,14.406686155913977,179.71481103286385
ETH-01,2.275,55.03340000000001,192.02700937500003,95.4802875,810.7203487454957,0.0018787159416887704,17.657217498609562,181.14024882629107,14.43012365591398,180.46864832746482
ETH-01,2.3,55.03135,192.0683,96.14621187499999,810.7201943403743,0.0018787139215300148,17.66387442065257,182.3600946302817,14.446237567204301,181.56513893779345
ETH-01,2.325,55.027449999999995,192.11346875000004,96.5219753125,810.7199005932306,0.0018787100782958798,17.617509837319243,183.2058956534908,14.4621750672043,182.2230333039906
ETH-01,2.35,55.016650000000006,192.09270937500006,96.78358106249999,810.7190871339069,0.0018786994354559763,17.605311920652575,184.38020172648797,14.480687998238782,183.30581778169014
ETH-01,2.375,55.0319,192.12670000000003,97.15934231250004,810.7202357661691,0.0018787144635240346,17.601744588895066,185.15835635317282,14.512094248238782,184.00483054577464
ETH-01,2.4,55.019850000000005,192.058034375,96.778823375,810.719328159759,0.0018787025888957248,17.60494142797553,185.82332485233985,14.517688334260288,185.06020275821598
ETH-01,2.425,55.025150000000004,192.0434343750001,96.54575756250001,810.7197273572185,0.001878707811769731,17.570870237764183,186.75711040436167,14.547063334260287,185.78662778755867
ETH-01,2.45,55.02684999999999,192.092253125,95.60871437500002,810.7198554012642,0.0018787094870284355,17.576241877549126,187.74748902014235,14.555818374582866,186.70493867370894
ETH-01,2.475,55.029799999999994,192.03180000000006,95.16636562500001,810.7200775948463,0.0018787123940916875,17.570685425936222,188.72371936998334,14.576287124582867,187.55471889671364
ETH-01,2.5,55.01985,192.08016250000006,94.61939687499996,810.719328159759,0.0018787025888957248,17.50893273776418,189.4877257307285,14.588015955228027,188.43191138497653
ETH-01,2.525,55.02975000000001,192.07628437500009,94.87147812499995,810.7200738288615,0.0018787123448194998,17.4520437208671,190.43565954869,14.588953455228028,189.30910387323945
ETH-01,2.55,55.0259,192.077196875,95.30430187500001,810.719783847263,0.0018787085508545998,17.39767350627681,191.3128520369529,14.58535970522803,190.0629411678404
ETH-01,2.575,55.024449999999995,192.06579062500006,95.97973812500003,810.7196746331456,0.0018787071219570016,17.370481686000318,192.14759972739668,14.590636922969964,190.9812520539906
ETH-01,2.6,55.02205,192.00077500000006,96.40781906250001,810.7194938646126,0.0018787047568828204,17.330280073097093,193.0955335453582,14.595405068131253,191.68026481807516
